OrganizationID,OrganizationCode,OrganizationDescription
1,NCDC,National Climatic Data Center
2,AKDFG,Alaska Department of Fish and Game
3,UAF,University of Alaska
4,ARM,"Atmospheric Radiation Measurement, Department of Energy"
5,GWS,Geo-Watersheds Scientific
6,BOERME,"The Bureau of Ocean Energy Management, Regulation and Enforcement"
7,NADP-NTN-MDN,National Atmospheric Deposition Program/Mercury Deposition Network
8,USGS,U.S. Geological Survey
9,USDA,"United States Department of Agriculture, Natural Resources Conservation Service"
10,FWS,U.S. Fish and Wildlife Service
11,BLM,Bureau of Land Management
12,SDSU,"Global Change Research Group,  SanDiego State University"
17,RAWS,Remote Automated Weather Station Network 
19,SNOTEL,Snowfall Telemetry Network 
24,NWIS,"National Water Information System, USGS"
25,NPS,National Park Service
26,NESDIS,"National Environmental Satellite, Data, and Information Service"
27,Toolik,Toolik Field Station and Long Term Ecological Research Site
28,ALCC,Arctic Landscape Conservation Cooperative
29,UCSB,University of California-Santa Barbara
30,MJM,MJM Consulting
31,CALM,Circumpolar Active Layer Monitoring
32,USGS-GTNP,Global Terrestrial Network for Permafrost
33,UTEP,University of Texas El Paso
34,AFCRFTSL,"Terrestrial Sciences Laboratory, Geophysics Research Directorate, Air Force Cambridge Research Center"
35,AINA,Arctic Institute of North America
